DIA,viajeros,Fecha,Total de viajeros
2019-05-15,197,2019,11356373
2019-05-16,289,2019,11356373
2019-05-17,938,2019,11356373
2019-05-18,299,2019,11356373
2019-05-19,681,2019,11356373
2019-05-20,327,2019,11356373
2019-05-21,227,2019,11356373
2019-05-22,198,2019,11356373
2019-05-23,275,2019,11356373
2019-05-24,860,2019,11356373
2019-05-25,322,2019,11356373
2019-05-26,637,2019,11356373
2019-05-27,325,2019,11356373
2019-05-28,193,2019,11356373
2019-05-29,206,2019,11356373
2019-05-30,512,2019,11356373
2019-05-31,673,2019,11356373
2019-06-01,237,2019,11356373
2019-06-02,615,2019,11356373
2019-06-03,343,2019,11356373
2019-06-04,206,2019,11356373
2019-06-05,232,2019,11356373
2019-06-06,298,2019,11356373
2019-06-07,912,2019,11356373
2019-06-08,296,2019,11356373
2019-06-09,700,2019,11356373
2019-06-10,362,2019,11356373
2019-06-11,266,2019,11356373
2019-06-12,263,2019,11356373
2019-06-13,311,2019,11356373
2019-06-14,831,2019,11356373
2019-06-15,428,2019,11356373
2019-06-16,657,2019,11356373
2019-06-17,381,2019,11356373
2019-06-18,198,2019,11356373
2019-06-19,331,2019,11356373
2019-06-20,295,2019,11356373
2019-06-21,782,2019,11356373
2019-06-22,348,2019,11356373
2019-06-23,540,2019,11356373
2019-06-24,386,2019,11356373
2019-06-25,252,2019,11356373
2019-06-26,289,2019,11356373
2019-06-27,276,2019,11356373
2019-06-28,727,2019,11356373
2019-06-29,313,2019,11356373
2019-06-30,585,2019,11356373
2019-07-01,356,2019,11356373
2019-07-02,185,2019,11356373
2019-07-03,239,2019,11356373
2019-07-04,262,2019,11356373
2019-07-05,719,2019,11356373
2019-07-06,325,2019,11356373
2019-07-07,609,2019,11356373
2019-07-08,310,2019,11356373
2019-07-09,241,2019,11356373
2019-07-10,240,2019,11356373
2019-07-11,270,2019,11356373
2019-07-12,750,2019,11356373
2019-07-13,282,2019,11356373
2019-07-14,579,2019,11356373
2019-07-15,322,2019,11356373
2019-07-16,249,2019,11356373
2019-07-17,248,2019,11356373
2019-07-18,229,2019,11356373
2019-07-19,655,2019,11356373
2019-07-20,273,2019,11356373
2019-07-21,583,2019,11356373
2019-07-22,287,2019,11356373
2019-07-23,183,2019,11356373
2019-07-24,227,2019,11356373
2019-07-25,252,2019,11356373
2019-07-26,630,2019,11356373
2019-07-27,293,2019,11356373
2019-07-28,501,2019,11356373
2019-07-29,326,2019,11356373
2019-07-30,222,2019,11356373
2019-07-31,259,2019,11356373
2019-08-01,269,2019,11356373
2019-08-02,628,2019,11356373
2019-08-03,254,2019,11356373
2019-08-04,485,2019,11356373
2019-08-05,295,2019,11356373
2019-08-06,215,2019,11356373
2019-08-07,248,2019,11356373
2019-08-08,262,2019,11356373
2019-08-09,573,2019,11356373
2019-08-10,264,2019,11356373
2019-08-11,456,2019,11356373
2019-08-12,289,2019,11356373
2019-08-13,208,2019,11356373
2019-08-14,531,2019,11356373
2019-08-15,368,2019,11356373
2019-08-16,487,2019,11356373
2019-08-17,273,2019,11356373
2019-08-18,573,2019,11356373
2019-08-19,308,2019,11356373
2019-08-20,242,2019,11356373
2019-08-21,242,2019,11356373
2019-08-22,308,2019,11356373
2019-08-23,618,2019,11356373
2019-08-24,312,2019,11356373
2019-08-25,526,2019,11356373
2019-08-26,321,2019,11356373
2019-08-27,210,2019,11356373
2019-08-28,231,2019,11356373
2019-08-29,305,2019,11356373
2019-08-30,688,2019,11356373
2019-08-31,318,2019,11356373
2019-09-01,701,2019,11356373
2019-09-02,343,2019,11356373
2019-09-03,257,2019,11356373
2019-09-04,240,2019,11356373
2019-09-05,316,2019,11356373
2019-09-06,978,2019,11356373
2019-09-07,435,2019,11356373
2019-09-08,763,2019,11356373
2019-09-09,433,2019,11356373
2019-09-10,232,2019,11356373
2019-09-11,325,2019,11356373
2019-09-12,352,2019,11356373
2019-09-13,1002,2019,11356373
2019-09-14,363,2019,11356373
2019-09-15,856,2019,11356373
2019-09-16,379,2019,11356373
2019-09-17,213,2019,11356373
2019-09-18,320,2019,11356373
2019-09-19,350,2019,11356373
2019-09-20,980,2019,11356373
2019-09-21,351,2019,11356373
2019-09-22,858,2019,11356373
2019-09-23,354,2019,11356373
2019-09-24,243,2019,11356373
2019-09-25,220,2019,11356373
2019-09-26,356,2019,11356373
2019-09-27,1128,2019,11356373
2019-09-28,387,2019,11356373
2019-09-29,890,2019,11356373
2019-09-30,407,2019,11356373
2019-10-01,235,2019,11356373
2019-10-02,194,2019,11356373
2019-10-03,316,2019,11356373
2019-10-04,1210,2019,11356373
2019-10-05,397,2019,11356373
2019-10-06,919,2019,11356373
2019-10-07,362,2019,11356373
2019-10-08,231,2019,11356373
2019-10-09,207,2019,11356373
2019-10-10,367,2019,11356373
2019-10-11,1148,2019,11356373
2019-10-12,348,2019,11356373
2019-10-13,991,2019,11356373
2019-10-14,410,2019,11356373
2019-10-15,199,2019,11356373
2019-10-16,243,2019,11356373
2019-10-17,355,2019,11356373
2019-10-18,1095,2019,11356373
2019-10-19,378,2019,11356373
2019-10-20,852,2019,11356373
2019-10-21,350,2019,11356373
2019-10-22,181,2019,11356373
2019-10-23,192,2019,11356373
2019-10-24,332,2019,11356373
2019-10-25,1060,2019,11356373
2019-10-26,328,2019,11356373
2019-10-27,884,2019,11356373
2019-10-28,277,2019,11356373
2019-10-29,214,2019,11356373
2019-10-30,381,2019,11356373
2019-10-31,1369,2019,11356373
